Food_Code,Display_Name,Portion_Default,Portion_Amount,Portion_Display_Name,Calories
92510610,"Fruit drink (punch, ade, or cooler)",2,1.0,fun size (box = 4 fl oz),62.88
92510610,"Fruit drink (punch, ade, or cooler)",2,1.0,Fruitopia bottle,238.08
92511010,Lemonade,1,1.0,cup,99.2
92511010,Lemonade,2,1.0,Snapple bottle,198.4
92520410,Crystal Lite (low-calorie fruit drink),1,1.0,cup,45.6
92530510,Cranberry juice cocktail,1,1.0,cup,144.21
92560000,Gatorade or Powerade (sports drink),1,1.0,cup,60.0
92570100,Pedialyte,1,1.0,cup,25.0
93101000,Beer or ale,1,1.0,can,147.6
93101000,Beer or ale,2,0.5,small pitcher,196.8
93102000,Lite beer,1,1.0,can,100.8
93102000,Lite beer,2,0.5,small pitcher,134.4
93201000,Cordial or liqueur,1,1.0,cordial glass,70.8
93201000,Cordial or liqueur,2,1.0,fluid ounce,106.2
93301030,Bloody Mary,1,1.0,cocktail,114.54
93301030,Bloody Mary,2,8.0,fluid ounces (no ice),199.2
93301060,Gin & tonic,1,1.0,cocktail,159.6
93301060,Gin & tonic,2,8.0,fluid ounces (no ice),182.4
93301090,Manhattan,1,1.0,cocktail,138.243
93301090,Manhattan,2,4.0,fluid ounces (no ice),263.32
93301100,Margarita,1,1.0,cocktail (incl. frozen),425.754
93301100,Margarita,2,4.0,fluid ounces (no ice),270.32
93301110,Martini,1,1.0,cocktail,129.92
93301110,Martini,2,4.0,fluid ounces (no ice),259.84
93301190,Rum & coke,1,1.0,cocktail,273.6
93301190,Rum & coke,2,8.0,fluid ounces (no ice),182.4
93301200,Pina colada,1,1.0,cocktail,417.6
93301200,Pina colada,2,8.0,fluid ounces (no ice),417.6
93301450,Liqueur with cream,1,2.0,fluid ounces,203.394
93401000,Table wine (all),1,1.0,standard wine glass,113.575
93401000,Table wine (all),2,0.5,carafe,189.42
93401000,Table wine (all),2,0.5,bottle,284.9
93401000,Table wine (all),2,1.0,small wine glass,79.31
93402000,Dessert wine (all),1,1.0,small wine glass,164.8
93402000,Dessert wine (all),2,4.0,fluid ounces,188.8
93404000,Wine cooler,1,1.0,drink (drink = 7 fl oz),111.3
93404000,Wine cooler,2,8.0,fluid ounces (no ice),127.2
93404500,Sangria,1,1.0,drink (drink = 8 fl oz),164.16
93404500,Sangria,2,8.0,fluid ounces (no ice),167.04
93501000,Brandy or cognac,1,2.0,fluid ounces,128.436
93502000,"Whiskey (bourbon, scotch, rye)",1,1.0,jigger (jigger = 1.5 oz),105.0
93502000,"Whiskey (bourbon, scotch, rye)",2,2.0,fluid ounces,140.0
93503000,Gin,1,1.0,jigger (jigger = 1.5 oz),110.46
93503000,Gin,2,2.0,fluid ounces,147.28
93504000,Rum,1,1.0,jigger (jigger = 1.5 oz),97.02
93504000,Rum,2,2.0,fluid ounces,128.436
93505000,Vodka or tequila,1,1.0,jigger (jigger = 1.5 oz),97.02
93505000,Vodka or tequila,2,2.0,fluid ounces,128.436
94000000,Water,1,1.0,cup,0.0
94000000,Water,2,2.0,fluid ounces,0.0
94210100,Fitness Water (Propel),1,1.0,cup (8 fl oz),11.85
94210100,Fitness Water (Propel),2,1.0,bottle (16.9 fl oz),25.0
94210100,Fitness Water (Propel),2,1.0,sports bottle (23.7 fl oz),35.1
11411100,"Plain yogurt, whole milk",2,1.0,ounce,17.30875
11411300,"Plain yogurt, fat free",2,1.0,ounce,15.89
11421000,"Flavored yogurt, whole milk",2,1.0,ounce,28.65875
11422000,"Flavored yogurt, low fat",2,1.0,ounce,24.11875
11424000,"Flavored yogurt, fat-free sugar-free",2,1.0,ounce,12.20125
11431000,"Fruit yogurt, whole milk",2,1.0,ounce,33.71667
11432000,"Fruit yogurt, low fat",2,1.0,ounce,28.9
11433500,"Fruit yogurt, fat-free sugar-free",2,1.0,ounce,14.45
42110000,Mixed nuts,2,1.0,ounce,175.0
43103000,Sesame seeds,2,1.0,Tablespoon,53.0
43104000,Flax seed,2,1.0,Tablespoon,45.0
54338000,Wheat cracker,2,4.0,Wheatsworth crackers,56.0
54338000,Wheat cracker,2,4.0,Whole Wheat Club Crackers,68.0
54338000,Wheat cracker,2,0.25,cup,53.25
